,time,open,high,low,close,tick_volume,spread,real_volume
12045,1664380800,0.95841,0.97073,0.95748,0.97013,58250,16,0
12046,1664395200,0.97013,0.97501,0.96999,0.97301,26855,16,0
12047,1664409600,0.97293,0.97371,0.96882,0.96883,14123,16,0
12048,1664424000,0.96882,0.96988,0.96736,0.96847,20154,16,0
12049,1664438400,0.96848,0.96869,0.96348,0.96646,45908,16,0
12050,1664452800,0.96639,0.97458,0.96632,0.96872,50483,16,0
12051,1664467200,0.96873,0.9797,0.9684,0.97752,55829,16,0
12052,1664481600,0.97751,0.98147,0.97686,0.98136,26946,16,0
12053,1664496000,0.98143,0.98431,0.98053,0.98244,16811,16,0
12054,1664510400,0.98244,0.98285,0.97936,0.97985,25061,16,0
12055,1664524800,0.97985,0.98531,0.97892,0.98321,48135,16,0
12056,1664539200,0.9834,0.98373,0.97343,0.97539,48909,16,0
12057,1664553600,0.9754,0.98173,0.97338,0.97892,55526,16,0
12058,1664568000,0.97891,0.98148,0.9782,0.97994,24527,16,0
12059,1664755200,0.97773,0.98079,0.97772,0.98006,12910,16,0
12060,1664769600,0.98006,0.98278,0.97843,0.97845,20439,16,0
12061,1664784000,0.97846,0.98338,0.97835,0.98102,44488,16,0
12062,1664798400,0.98101,0.9812,0.9752,0.97647,36831,16,0
12063,1664812800,0.97648,0.98438,0.97571,0.98071,53463,16,0
12064,1664827200,0.9807,0.98282,0.97873,0.98239,28442,16,0
12065,1664841600,0.98244,0.9837,0.98055,0.9826,12674,16,0
12066,1664856000,0.9826,0.98444,0.98052,0.98324,25043,16,0
12067,1664870400,0.98324,0.98952,0.9825,0.9874,42903,16,0
12068,1664884800,0.98739,0.99337,0.98519,0.99233,42025,16,0
12069,1664899200,0.99234,0.99929,0.9909,0.99692,44669,16,0
12070,1664913600,0.99693,0.99988,0.99596,0.998,27177,16,0
12071,1664928000,0.99837,0.99893,0.99695,0.9975,11211,16,0
12072,1664942400,0.9975,0.99898,0.99586,0.99654,26379,16,0
12073,1664956800,0.99652,0.9994,0.99221,0.99468,36014,16,0
12074,1664971200,0.99467,0.9951,0.98913,0.99107,32026,16,0
12075,1664985600,0.99106,0.99135,0.98339,0.98623,43503,16,0
12076,1665000000,0.98623,0.98961,0.98593,0.98692,22858,16,0
12077,1665014400,0.98712,0.99253,0.9866,0.9916,13800,16,0
12078,1665028800,0.99159,0.99257,0.99022,0.99203,22524,16,0
12079,1665043200,0.99202,0.99251,0.98742,0.98876,37224,16,0
12080,1665057600,0.98877,0.99019,0.9855,0.9868,38650,16,0
12081,1665072000,0.98677,0.98697,0.97873,0.98017,51169,16,0
12082,1665086400,0.98015,0.98161,0.97869,0.97869,26980,16,0
12083,1665100800,0.97877,0.97969,0.97843,0.97924,13187,16,0
12084,1665115200,0.97927,0.98112,0.97856,0.97906,18034,16,0
12085,1665129600,0.97908,0.98159,0.97648,0.9801,32578,16,0
12086,1665144000,0.98011,0.98103,0.97252,0.97493,35266,16,0
12087,1665158400,0.97493,0.97905,0.97408,0.97601,53783,16,0
12088,1665172800,0.97604,0.97685,0.973,0.97397,22363,16,0
12089,1665360000,0.97308,0.97405,0.97238,0.97369,11317,16,0
12090,1665374400,0.97368,0.97527,0.97317,0.97389,15606,16,0
12091,1665388800,0.97389,0.97428,0.96809,0.96876,30384,16,0
12092,1665403200,0.96877,0.97184,0.96862,0.97138,29871,16,0
12093,1665417600,0.97138,0.97449,0.96847,0.96911,41195,16,0
12094,1665432000,0.9691,0.97231,0.96846,0.9702,24546,16,0
12095,1665446400,0.96929,0.97217,0.96929,0.97196,13333,16,0
12096,1665460800,0.97194,0.97206,0.96697,0.96762,30422,16,0
12097,1665475200,0.96762,0.9724,0.9674,0.97067,39956,16,0
12098,1665489600,0.97068,0.97372,0.96911,0.9719,35973,16,0
12099,1665504000,0.97193,0.97738,0.969,0.97645,45025,16,0
12100,1665518400,0.97649,0.97659,0.9693,0.97019,28980,16,0
12101,1665532800,0.97028,0.9717,0.96894,0.97022,11623,16,0
12102,1665547200,0.97021,0.97337,0.96818,0.97138,25403,16,0
